CODGEO,Taux_chomage,taux_sans_diplome,taux_maison_princ,taux_loc_princ,taux_inactifs,salaire_ouvrier,salaire_employe,TP6020
59260,10.19,21.61,94.06,18.04,18.25,13.9454119042169,11.69813214889,9.0
59262,10.38,24.15,97.57,17.8,15.48,12.2282791291709,11.9034719053203,12.0
59266,8.23,14.77,92.06,18.85,16.42,12.0015554066318,11.6682776793337,5.0
59268,11.03,22.08,86.99,31.31,15.67,12.2888643435837,11.2119750213139,12.0
59271,28.14,35.9,51.38,56.44,26.16,12.4186409352556,10.658391466936,31.0
59272,20.01,29.88,87.03,39.29,21.21,13.3578033463778,10.6523768647922,17.0
59273,14.44,23.7,76.36,48.07,18.46,12.6517801198635,10.9646472370056,14.0
59276,21.05,29.11,92.31,50.76,19.91,12.2358539775145,11.7391409632013,23.0
59278,10.44,16.78,91.97,16.93,13.67,12.0081573917493,11.6326446750556,7.0
59279,13.49,24.76,74.74,32.04,15.53,11.6760304093194,11.425675073924,16.0
59284,12.09,21.12,91.92,23.1,15.68,12.148467797431,12.0539383796289,10.0
59285,14.06,19.83,98.91,23.02,14.64,12.8715962879427,11.7144616677424,15.0
59286,14.25,22.71,58.36,40.86,15.86,11.4628334642995,11.2335108763289,15.0
59288,15.64,22.86,92.53,27.86,18.03,12.3213986784348,11.1049880934661,17.0
59291,32.37,27.95,76.22,53.48,20.23,11.7633181019049,10.6511418524144,32.0
59292,27.45,29.68,99.18,59.1,20.81,11.6005919857809,10.7470505657616,25.0
59295,14.01,25.09,74.57,38.59,16.7,11.4120687042355,11.156620159233,15.0
59299,16.92,23.45,82.33,39.63,17.54,11.1480657839804,11.6884990606387,16.0
59301,13.62,20.83,97.17,18.05,19.63,12.3890370332215,11.5208453038879,14.0
59302,15.9,20.07,91.05,39.54,18.01,11.9629385094233,11.5754964008734,18.0
59309,14.73,24.85,87.15,30.57,16.03,12.570457203248,11.4424766240833,16.0
59314,18.84,24.55,98.72,37.77,18.4,12.1177835972604,11.0956498984505,17.0
59316,9.55,18.77,92.47,26.67,15.27,11.7764438230792,11.7336595242482,7.0
59317,12.99,23.34,88.24,30.48,15.25,11.5046922469182,11.530352608534,13.0
59322,18.59,24.93,92.54,28.57,16.58,11.8497762932958,11.4809506641546,17.0
59324,29.36,27.89,71.94,50.05,21.96,12.0675248672857,10.8109715836447,32.0
59327,19.9,30.01,88.84,51.15,17.74,12.2312685102582,11.1485994455452,21.0
59328,10.34,11.33,58.02,31.84,15.21,11.1703834939911,11.9933973081257,10.0
59329,15.79,18.47,89.09,38.53,14.4,12.4179795832641,10.9652231504162,10.0
59331,24.88,34.04,71.83,44.16,19.49,11.8519117455747,11.2655464539516,24.0
59339,10.48,19.9,86.66,22.69,15.34,11.853011147439,11.7547719535305,7.0
59340,16.87,22.94,83.42,33.02,18.91,13.9589990251758,11.5748624413475,9.0
59343,8.57,13.46,72.6,31.48,14.72,11.8541127005766,11.7774750094054,8.0
59344,20.12,23.06,95.4,38.33,19.89,12.0778961212434,10.750963707799,17.0
59345,20.11,19.36,86.79,36.13,17.24,12.4166634911236,10.8555921882379,18.0
59350,18.87,14.14,22.03,63.63,24.27,10.699115052887,11.0814651923042,25.0
59352,10.22,20.18,78.21,28.49,15.4,11.7846091486868,12.0109194410654,7.0
59357,12.2,19.35,96.98,22.11,19.82,12.6728769506235,11.9649575823355,12.0
59359,13.69,26.32,90.76,39.82,17.99,13.8246369610003,11.5231971343486,11.0
59360,18.44,20.56,42.35,54.06,19.67,10.9849928601379,11.0096796213559,22.0
59361,36.78,33.71,89.48,52.94,23.36,11.6149393015412,10.5561442637102,35.0
59365,37.42,30.28,64.65,57.65,22.74,12.0415329262057,10.5713824264406,41.0
59367,14.09,20.45,69.03,32.46,16.41,11.1518475200077,11.3014180842153,14.0
59368,12.86,14.23,30.62,48.57,13.59,11.0994760056078,11.669268130464,13.0
59369,14.11,21.44,90.2,20.28,17.14,12.8010989319118,11.7423702728123,12.0
59375,10.95,17.39,88.62,22.27,14.75,12.3328073663939,11.4203942306303,9.0
59378,10.39,11.93,56.15,34.32,15.13,11.4358667539632,12.2058370663054,10.0
59383,21.58,23.5,68.87,45.73,16.25,11.6464831885789,11.219204437741,21.0
59385,21.83,20.65,90.34,34.73,18.3,12.3414319890361,10.8424554469273,24.0
59386,10.5,20.02,76.79,29.24,15.82,11.7949825124687,11.7242945477949,10.0
59389,18.42,24.1,96.04,27.54,15.08,12.2805841193541,11.1940096959865,16.0
59390,23.55,29.57,93.18,52.46,21.37,12.5095362060663,10.9205473464783,26.0
59392,33.36,29.86,56.89,50.11,22.48,11.5350095495236,10.9533072971915,34.0
59400,14.46,26.32,87.08,31.02,17.36,13.0869001497305,11.0828119292406,15.0
59401,10.15,19.46,95.47,22.93,12.98,12.9550580698264,11.6470845393869,10.0
