,REG,DEP,CODGEO,LIBGEO,AAV20,LIBAAV2,CATEAAV,LIBCATE,TAAV20,LIBTAAV,geometry,TP6020
0,32,59,59004,Aix-en-Pévèle,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((721369.9878845015 7043362.99917782, 719565.9535839938 7043645.971810609, 720894.0177484624 7045511.048730971, 723363.9582161707 7045693.949812803, 723780.0201747002 7045670.009132926, 723501.0187407911 7044716.025812658, 721369.9878845015 7043362.99917782))",
1,32,59,59005,Allennes-les-Marais,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((697388.0062234758 7047846.991005516, 696458.9841342833 7047379.983740203, 696183.0472282628 7048022.970287641, 695067.9494210145 7050021.025200019, 695005.9989437793 7050361.976273011, 695772.997869139 7051075.988250629, 696480.9965453793 7051180.031691799, 697503.0564935994 7048922.944826518, 697388.0062234758 7047846.991005516))",
2,32,59,59009,Villeneuve-d'Ascq,004,Lille (partie française),12,Autre commune du pôle principal,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((709781.9555139567 7056024.037434147, 708545.0012085624 7057945.957012636, 708852.0254963747 7058106.050965285, 708589.0238741552 7059796.9671937, 708278.024973465 7059950.025545303, 708733.0049265712 7061136.944607182, 708454.0034926612 7061292.04692027, 708408.9607555056 7061867.9754649745, 709008.9439891903 7061809.997024757, 709647.0494322366 7062998.051868719, 709765.9578588658 7064039.965697988, 710432.9962408032 7063797.046677254, 710424.0334132811 7063087.004358457, 711081.9946679232 7062816.9671456795, 711477.9765285089 7062226.967398883, 712003.9819295467 7061775.959264411, 712708.0103061079 7061884.994345142, 713166.0526305035 7060138.032068051, 712812.0532923839 7059549.960249995, 713377.9989161611 7059096.002206037, 713747.9959093716 7059080.003075207, 713954.9496671866 7059769.962802993, 714615.9754497176 7059759.977292474, 714689.9532823651 7059738.986522079, 714454.9745140483 7058572.03848125, 714296.0158781053 7058919.003174554, 713918.9819007264 7058858.980772854, 712725.0301893613 7057908.969342804, 712502.9845482461 7057195.979345934, 712776.9956109126 7056931.04534267, 712264.9434086392 7056114.011904619, 709781.9555139567 7056024.037434147))",20.0
3,32,59,59011,Annoeullin,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((694804.0377138064 7045612.03069271, 694065.9717273378 7046997.053357813, 692589.0461257851 7048240.020699769, 692750.9549898438 7048468.986782557, 692927.9557372035 7048681.953734518, 694023.991361472 7048955.054658125, 695067.9494210145 7050021.025200019, 696183.0472282628 7048022.970287641, 696495.974128906 7046067.010717414, 694804.0377138064 7045612.03069271))",10.0
4,32,59,59013,Anstaing,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((713627.9552680049 7055150.951253223, 713252.965746952 7055740.951000016, 712264.9434086392 7056114.011904619, 712776.9956109126 7056931.04534267, 713865.9964076118 7057172.038666067, 714357.964198742 7056095.97104371, 713627.9552680049 7055150.951253223))",
5,32,59,59017,Armentières,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((692728.9447353479 7064865.964897209, 692406.0327790194 7064652.997945254, 690896.9975675113 7064961.952987991, 689818.9997414615 7065476.955414399, 690812.0146076159 7067357.009484845, 691810.0198450142 7067687.97504732, 692952.0082914268 7066281.055663833, 692534.0161763445 7065777.966676697, 692728.9447353479 7064865.964897209))",24.0
6,32,59,59022,Attiches,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((705061.0556917669 7043437.996498214, 705030.9883815378 7043439.018478953, 704894.9479284812 7044844.0099337, 704172.9938968766 7045023.052926671, 703563.0256075067 7045911.00022493, 703184.9737151634 7045918.035825979, 702792.0563824675 7046772.967344634, 703504.0275149866 7047912.005046781, 704481.0425694512 7048200.991299859, 704691.9666269452 7047560.048713905, 705544.9685837642 7046992.967666245, 705806.9501344202 7046360.988610068, 705400.9875313484 7045729.009553886, 705528.9709286739 7044260.023807221, 705061.0556917669 7043437.996498214))",
7,32,59,59025,Aubers,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((686393.9444872106 7053541.956376295, 685036.9452272506 7054013.95528117, 685250.0258842446 7054372.947215081, 686416.9769698696 7056758.0182014145, 687847.9497492777 7057989.980283501, 688046.9607511343 7058125.000005591, 688214.998670972 7057124.951684369, 689222.9889640544 7055106.019802962, 688564.0054812494 7054350.028515954, 687650.9810471482 7054012.027352432, 686393.9444872106 7053541.956376295))",
8,32,59,59029,Auchy-lez-Orchies,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((714945.0143052263 7041667.999489241, 713165.0325589413 7041271.0001361575, 712449.9990551317 7041535.023728636, 712002.0539295945 7042061.031414898, 712363.9960236729 7043167.959285437, 713606.9650850726 7044348.978528357, 714245.9784565074 7043407.022448701, 716459.9499729659 7043120.986105076, 714945.0143052263 7041667.999489241))",
9,32,59,59034,Avelin,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((706407.9555962678 7045800.034984059, 705806.9501344202 7046360.988610068, 705544.9685837642 7046992.967666245, 704691.9666269452 7047560.048713905, 704481.0425694512 7048200.991299859, 704890.9776288013 7051024.023430717, 705441.0377406621 7051898.015559637, 706809.0421278701 7052516.947625851, 707598.9592361166 7050627.021846236, 707249.9524258389 7050466.019714182, 707126.9593997567 7048939.0577587, 707655.0092571205 7047962.04193795, 707174.9545216277 7047109.038348029, 707462.0108546696 7046507.013592026, 706407.9555962678 7045800.034984059))",
10,32,59,59042,Bachy,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((720348.0422360548 7047849.032735599, 718491.020285832 7047971.005467734, 717999.0524947025 7049448.044333396, 718338.9821776844 7049545.962584307, 718000.9804946553 7051261.950811886, 718669.0411047556 7051490.008715287, 719586.0358385366 7051295.988572232, 719990.9805266444 7050660.945805226, 719861.9749011563 7049218.966680652, 720348.0422360548 7047849.032735599))",
11,32,59,59043,Bailleul,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((680291.992850838 7065949.974068613, 677216.056550039 7066478.023484967, 677124.9466909639 7066939.017129967, 676823.0249175691 7068013.043022238, 677150.0214733501 7068687.001387808, 677897.0502873407 7068832.006620422, 678454.0330835959 7069353.020435731, 679215.0172529512 7071093.971323911, 678943.958575 7072574.982079795, 679282.9803295927 7072744.947741624, 681012.01888249 7073543.034370755, 681798.9857626198 7074374.025209546, 681970.9939821368 7075085.995457077, 682637.0122925113 7075366.018180384, 683105.0396725917 7074768.982832549, 682999.9744581531 7074019.005165856, 684587.9800301503 7072360.993147096, 685231.9859294283 7070111.9638636, 686789.0162628074 7068929.014460546, 685525.9649468646 7068344.008584719, 683275.0055923826 7068328.011685287, 680234.014829881 7066711.981207313, 680291.992850838 7065949.974068613))",10.0
12,32,59,59044,Baisieux,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((716625.0355080881 7055359.946314958, 716104.0204782927 7055037.036102878, 715725.9685859496 7055633.049469962, 715488.0395895172 7055930.999252843, 715934.0567151015 7056545.959428842, 715867.0015668491 7057295.031147545, 715150.0379064875 7058170.951205203, 714443.9693868002 7058459.029278899, 716320.0513634026 7058267.961276723, 718336.031949568 7059050.95695442, 718155.9688309187 7058357.027567808, 719104.9610314806 7057247.944165851, 719213.9965455993 7056528.032369279, 718099.0130381247 7056445.9994478375, 716625.0355080881 7055359.946314958))",5.0
13,32,59,59051,La Bassée,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((686063.997703313 7047754.974804947, 685753.0009592224 7047941.051167557, 685886.9991125528 7048955.96283752, 685410.0067483506 7050241.025521618, 686072.052602445 7050460.006093882, 686737.0508412562 7050248.967070663, 687332.0415470981 7049652.955934966, 687550.0004321616 7048982.967228215, 686672.9459211194 7047983.032708343, 686063.997703313 7047754.974804947))",16.0
14,32,59,59052,Bauvin,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((693238.0445529051 7045129.024296572, 693011.008540547 7044856.945353709, 692324.0000472392 7045001.948354928, 691976.0133085258 7045618.0443130145, 691622.0139704053 7045609.986731228, 691978.9635366417 7048419.971872125, 692750.9549898438 7048468.986782557, 692589.0461257851 7048240.020699769, 693308.0499292731 7046151.993548331, 693036.9912513219 7045448.986830586, 693238.0445529051 7045129.024296572))",11.0
15,32,59,59056,Beaucamps-Ligny,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((694377.9906995916 7054719.003729007, 693733.9848003138 7055996.011062709, 692749.0269898912 7056425.008677444, 692406.0327790196 7057076.050575279, 692294.9549651744 7057638.02395063, 694344.9731612473 7057820.016853079, 694540.0138634244 7057833.972022421, 694790.9902868321 7056772.995351492, 695270.0227941612 7056197.972754803, 695632.9871164028 7056286.01929654, 695490.02613555 7055871.998831886, 694978.9961614402 7055703.961098786, 695136.0267974299 7055470.005607839, 694377.9906995916 7054719.003729007))",
16,32,59,59071,Bersée,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((711878.0408319487 7040227.948293407, 709426.0281758838 7041046.005943586, 708950.9638116342 7042077.028314333, 709453.0309582233 7043498.018899919, 709422.9636479941 7044566.028940479, 710097.9447858902 7045096.00851697, 711766.9608615044 7044132.03968618, 712363.9960236729 7043167.959285437, 712002.0539295945 7042061.031414898, 712449.9990551317 7041535.023728636, 711878.0408319487 7040227.948293407))",
17,32,59,59073,Berthen,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((678610.9494198126 7074390.022108979, 677590.0238429294 7073982.015264625, 677248.051860221 7075791.043904902, 676277.9573335514 7076216.977808822, 676845.9452570552 7077034.0134782605, 677520.0184665617 7077362.029131268, 679216.039481114 7075936.955085514, 679263.0123748227 7074961.980994847, 678658.0366132952 7074719.967922113, 678610.9494198126 7074390.022108979))",
18,32,59,59080,Beuvry-la-Forêt,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((721823.0398376554 7037481.0492650345, 721163.036283287 7037774.007408347, 718290.9892124129 7037804.981457867, 717956.0499006734 7038794.024519221, 717412.0045448184 7039256.946092966, 717681.0209230429 7039931.020491271, 718713.9716987382 7040226.020364667, 719183.0213069821 7040792.987610982, 720582.0009328079 7041119.981283235, 722075.0384892258 7039931.020491269, 722778.9525660132 7038628.030747614, 722074.0162610628 7038661.956938014, 722162.9695206376 7037579.989496693, 721823.0398376554 7037481.0492650345))",
19,32,59,59086,Boeschepe,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((681525.9990847161 7076037.028867869, 681194.0100010928 7075898.945434948, 680219.9451747437 7076332.026509868, 679216.039481114 7075936.955085514, 677520.0184665617 7077362.029131268, 676845.9452570552 7077034.0134782605, 676454.958080912 7079836.054838721, 676155.9865356325 7080035.972569328, 676712.969331888 7080563.000004943, 677554.9640048593 7079766.955105893, 680214.9526469012 7079547.97453363, 680477.9564257204 7079262.960170755, 680574.9645844275 7077727.034685483, 681525.9990847161 7076037.028867869))",
20,32,59,59088,Bois-Grenier,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((690766.9697138604 7059354.012178207, 689054.9532008162 7061716.958843446, 690525.9783461378 7062710.993544366, 691232.9569508143 7062838.977665409, 692584.9615263324 7062177.044309058, 692622.9715925191 7061446.013451269, 692337.9554026042 7060777.044493875, 691161.0214178934 7059619.965930818, 690766.9697138604 7059354.012178207))",
21,32,59,59090,Bondues,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((705978.0504255474 7065069.968319385, 705232.0416831208 7065621.9584156135, 705105.9862857483 7068152.032403153, 704657.0210886478 7069188.954592856, 705340.9650540649 7069381.044575763, 706005.055364486 7070243.011695477, 706722.0168682479 7070196.946694525, 707211.0344312618 7069661.975478471, 707876.0326700727 7069521.964116813, 708445.0406651392 7069976.944141517, 709384.0478100171 7069472.041026989, 709439.9835312476 7068759.956978114, 708533.9939247147 7067965.047861151, 708224.0172521874 7068175.97308302, 707571.0485253878 7067261.021394065, 707491.9660217237 7066542.015545483, 706531.9686939134 7066044.034230657, 705978.0504255474 7065069.968319385))",5.0
22,32,59,59091,Borre,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((669909.0316186806 7068854.017140157, 669169.9455606481 7070218.957214256, 669357.9514352563 7071376.035777301, 670559.960202353 7072354.979526786, 670880.0340737392 7072524.037009224, 671455.056824812 7072147.006445798, 671198.9735737888 7071869.025452574, 671273.971477999 7069263.045965249, 669909.0316186806 7068854.017140157))",
23,32,59,59096,Bourghelles,004,Lille (partie française),20,Commune de la couronne,4,Aire de 700 000 habitants ou plus (hors Paris),"POLYGON ((717999.0524947025 7049448.044333396, 717335.9844124439 7049330.951670865, 716767.9964889408 7050144.015450088, 716989.0199018933 7050882.990088325, 716518.9502220857 7054274.009214822, 718233.0090348558 7053713.055588814, 718669.0411047556 7051490.008715287, 718000.9804946553 7051261.950811886, 718338.9821776844 7049545.962584307, 717999.0524947025 7049448.044333396))",
